Player,Team,Position,Age,Games,Receptions_per_Game,Receiving_Yards_per_Game,Rushing_Yards_per_Game,Rushing_Attempts_per_Game
Christian Kirk,ARI,WR,23,13,5.2,54.5,7.2,0.8
Christian McCaffrey,CAR,RB,23,16,7.3,62.8,86.7,17.9
Christian Wilkins,MIA,RDE,24,16,0.1,0.1,NA,NA
Clive Walford,MIA,NA,28,7,0.6,8.1,0.6,0
Codey McElroy,TAM,NA,27,1,1,30,NA,NA
Cody Core,NYG,NA,25,16,0.2,1.8,NA,NA
Cody Davis,JAX,NA,30,16,0.1,0.4,NA,NA
Cody Hollister,TEN,NA,26,5,0.4,2.6,NA,NA
Cody Latimer,NYG,WR,27,15,1.6,20,NA,NA
Cole Beasley,BUF,WR,30,15,4.5,51.9,NA,NA
Colin Jones,CAR,NA,32,16,0,0,0.3,0.1
Colt McCoy,WAS,/qb,33,1,0,0,14,2
Cooper Kupp,LAR,WR,26,16,5.9,72.6,0.3,0.1
Cordarrelle Patterson,CHI,NA,28,16,0.7,5.2,6.4,1.1
Corey Davis,TEN,WR,24,15,2.9,40.1,NA,NA
Courtland Sutton,DEN,WR,24,16,4.5,69.5,1.1,0.2
Curtis Samuel,CAR,WR,23,16,3.4,39.2,8.1,1.2
Cyril Grayson,TAM,NA,26,2,0.5,1.5,NA,NA
D'Ernest Johnson,CLE,NA,23,16,0.4,4.4,1.3,0.3
D.J. Moore,CAR,WR,22,15,5.8,78.3,2.7,0.4
D.K. Metcalf,SEA,WR,22,16,3.6,56.3,0.7,0.1
Da'Mari Scott,NYG,NA,24,5,0.4,4.4,1,0.2
DaeSean Hamilton,DEN,NA,24,16,1.8,18.6,NA,NA
Dak Prescott,DAL,QB,26,16,0,0,17.3,3.3
Dallas Goedert,PHI,TE,24,15,3.9,40.5,NA,NA
Dalton Schultz,DAL,NA,23,16,0.1,0.4,NA,NA
Dalvin Cook,MIN,RB,24,14,3.8,37.1,81.1,17.9
Dalyn Dawkins,TEN,NA,25,2,0,0,13,5.5
Damien Harris,NWE,NA,22,2,0,0,6,2
Damien Williams,KAN,rb,27,11,2.7,19.4,45.3,10.1
Damiere Byrd,ARI,/wr,26,11,2.9,32.6,NA,NA
Damion Ratley,CLE,NA,24,13,0.9,15.4,NA,NA
Damion Willis,CIN,NA,22,10,0.9,8.2,NA,NA
Dan Arnold,2TM,NA,24,5,1.6,25.4,NA,NA
Daniel Brown,NYJ,wr,27,16,0.4,4.5,NA,NA
Daniel Jones,NYG,QB,22,13,0,0,21.5,3.5
Danny Amendola,DET,WR,34,15,4.1,45.2,NA,NA
Danny Vitale,GNB,NA,26,15,0.5,6.5,0.2,0.1
Dante Pettis,SFO,NA,24,11,1,9.9,NA,NA
Dare Ogunbowale,TAM,NA,25,16,2.2,17.9,1.1,0.7
Darius Jennings,TEN,NA,27,8,0.3,2.1,NA,NA
Darius Slayton,NYG,WR,22,14,3.4,52.9,NA,NA
Darrel Williams,KAN,NA,24,12,1.3,13.9,11.8,3.4
