player,age,g,gs,mp,fg,x3p,x2p,ft,trb,ast,stl,blk,tov,pf,pts
Shake Milton,23,40,24,20.1,3.4,1.5,1.9,1.3,2.2,2.6,0.5,0.2,1.2,2.3,9.4
Shamorie Ponds,21,4,0,2.8,0.8,0.3,0.5,0.5,0.3,0.5,0,0.3,0,0.5,2.3
Shaquille Harrison,26,43,10,11.3,1.8,0.39999999999999997,1.4,0.9,2,1.1,0.7999999999999999,0.39999999999999997,0.39999999999999997,1.3,4.9
Sindarius Thornwell,25,2,0,17.5,3,1,2,1,2,2,0.5,0.5,1,1,8
Skal Labissière,23,33,1,17.2,2.5,0.1,2.4,0.8,5.1,1.3,0.2,0.9,0.9,2.7,5.8
Solomon Hill,28,118,8,18.43220338983051,1.8847457627118644,1.0940677966101695,0.7813559322033898,0.6745762711864406,2.7974576271186438,1.797457627118644,0.6966101694915253,0.18728813559322036,0.8686440677966102,1.4127118644067795,5.488135593220339
Spencer Dinwiddie,26,64,49,31.2,6.6,1.9,4.7,5.4,3.5,6.8,0.6,0.3,2.7,2.8,20.6
Stanley Johnson,23,25,0,6,0.9,0.3,0.6,0.4,1.5,0.8,0.2,0.2,0.6,0.6,2.4
Stanton Kidd,27,4,0,3.8,0,0,0,0,0.8,0.3,0,0,0.5,0.8,0
Stephen Curry,31,5,5,27.8,6.6,2.4,4.2,5.2,5.2,6.6,1,0.4,3.2,2.2,20.8
Sterling Brown,24,52,1,14.8,1.8000000000000003,0.8,1,0.6,3.5,1,0.6,0.1,0.8,1,5.1
Steven Adams,26,63,63,26.7,4.5,0,4.5,1.9,9.3,2.3,0.8,1.1,1.5,1.9,10.9
Svi Mykhailiuk,22,56,27,22.6,3,2.1,0.9,1,1.9,1.9,0.7,0.1,1.1,1.6,9
T.J. Leaf,22,28,1,7.9,1.3,0.2,1.1,0.3,2.5,0.3,0.4,0.1,0.3,0.8,3
T.J. McConnell,27,71,3,18.7,3,0.1,2.9,0.5,2.7,5,0.8,0.2,1.4,1,6.5
T.J. Warren,26,67,67,32.9,8,1.4,6.6,2.5,4.2,1.5,1.2,0.5,1.3,2.8,19.8
Tacko Fall,24,7,0,4.7,1.6,0,1.6,0.1,2.1,0.1,0.1,0.6,0.4,1,3.3
Taj Gibson,34,62,56,16.5,2.7,0.1,2.6,0.7,4.3,0.8,0.4,0.5,0.8,2,6.1
Talen Horton-Tucker,19,6,1,13.5,2.3,0.6999999999999998,1.7,0.3,1.2,1,1.3,0.20000000000000004,1,1.7,5.7
Tariq Owens,24,3,0,5,0.3,0,0.3,0.6999999999999998,1,0,0.3,0,0,0.3,1.3
Taurean Prince,25,64,61,29,4.3,2.3,2.1,1.1,6,1.8,0.9,0.4,2,2.5,12.1
Terance Mann,23,41,6,8.8,0.8999999999999999,0.20000000000000004,0.7,0.4000000000000001,1.3,1.3,0.3,0.10000000000000002,0.4000000000000001,1.1,2.4
Terence Davis,22,72,4,16.8,2.8,1.3,1.5,0.7,3.3,1.6,0.5,0.2,1.1,1.7,7.5
Terrance Ferguson,21,56,38,22.4,1.4,0.9,0.5,0.3,1.3,0.9,0.5,0.3,0.6,2.8,3.9
Terrence Ross,28,69,0,27.4,4.9,2.6,2.4,2.3,3.2,1.2,1.1,0.3,1,1.6,14.7
